A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,Y
1.97797,114.984,27.0542,72.2312,109.967,0.557149,66.9486,74.7124,38.1705,25.9021,28.5198,15.5424,4.24147,5.13507,30.4679,105.558,14.0739,2.36189,0.771792,184.518,170.445,125.128,0.863277,249.844,284.847,35.0017,147.236,121.812,505.953,-0.345853,174.525,185.079,16.4334,28.9912,128.185,176.626,248.451,242.985,20.3388,-0.986966,251.766,24.2235,25.2866,100.519,259.009,564.095,683.128,19.9709,2841.68,9.14489,47.156,104.482,0,110.014
1.97222,115.304,27.3429,72.2198,110.079,0.552416,67.0499,74.209,38.1705,25.7132,28.4636,15.4525,4.78828,5.23569,30.4686,105.851,13.8125,2.63994,0.892964,184.519,170.707,121.189,0.971214,251.007,283.316,32.3082,148.221,122.692,506.922,-0.344475,174.525,185.025,16.5593,28.983,127.464,176.945,248.796,244.128,22.4873,-0.984605,252.579,24.5248,25.2866,103.435,259.832,562.918,566.39,20.0259,2847.34,9.0704,52.3523,106.721,0,109.936
1.95748,115.336,27.1421,72.2198,109.967,0.558547,66.948,73.7975,38.1705,25.6028,28.5627,15.4666,4.32914,5.17998,30.4679,105.808,14.2243,2.37396,0.850072,184.669,170.445,123.253,0.987992,251.117,283.463,32.3463,148.894,120.515,507.384,-0.344015,174.413,185.222,16.475,28.9724,126.57,176.839,248.859,244.864,22.5434,-0.984154,252.777,23.7051,25.2866,94.9173,259.701,554.518,699.391,19.9709,2831.26,8.95819,48.0716,100.183,3.46828,110.03
2.13262,115.153,27.135,72.2312,110.079,0.55711,66.9965,73.7975,38.0583,25.8273,28.7019,15.454,4.21861,5.17639,30.516,104.893,13.8886,2.37883,0.780134,184.708,170.82,120.873,0.954498,251.156,283.428,32.2714,148.852,121.082,506.79,-0.344451,174.469,185.251,16.5454,28.9725,126.249,176.923,248.904,245.56,24.4017,-0.981816,253.279,30.2669,25.2893,143.459,260.027,548.903,554.935,20.1287,2898.41,8.84598,50.3756,145.219,0.711283,110.044
1.9684,116.104,27.0434,72.2198,109.967,0.553408,66.9198,73.4983,38.0583,25.8273,28.5929,15.485,4.36091,5.15964,30.492,105.579,13.8499,2.38921,0.810893,184.519,170.705,123.447,0.993895,251.309,283.573,32.2645,146.893,121.79,504.826,-0.347262,174.441,185.109,16.3909,28.9831,127.096,176.965,248.6,245.514,23.0953,-0.983238,253.42,26.559,25.2866,117.868,260.009,602.434,678.702,19.8016,2848.71,8.73377,45.6932,121.033,0.000078,109.929
1.94347,114.648,27.2228,72.2198,109.967,0.557102,67.0504,73.3861,38.1153,25.4158,28.4807,15.5403,4.73222,5.21188,30.4758,105.354,13.8131,2.63232,0.861444,184.595,170.781,121.222,0.997095,251.527,283.758,32.2309,148.239,122.32,506.443,-0.344958,174.357,185.221,16.5452,28.9886,124.827,176.753,248.773,245.388,22.9274,-0.983673,253.505,29.8106,25.2866,142.8,260.161,566.425,637.905,20.157,2916.91,8.65896,51.0543,143.556,0.037672,110.099
1.96301,116.028,27.0251,72.2314,109.967,0.552455,66.9388,73.2923,38.0583,25.7151,28.6761,15.4578,4.3376,5.18339,30.4919,105.892,13.8512,2.37979,0.814979,184.407,170.556,122.712,0.957854,251.196,283.316,32.0836,148.593,123.875,505.34,-0.346328,174.299,184.997,16.4327,28.9776,126.304,176.816,248.752,245.558,23.9624,-0.982298,253.532,25.2493,25.2838,109.629,260.047,564.102,639.884,19.9138,2855.83,8.54675,50.7512,112.135,0.027233,109.906
1.99941,115.024,27.228,72.2314,109.968,0.556633,67.0232,73.2371,38.0583,25.4158,28.5367,15.4405,4.61892,5.23875,30.5001,105.437,13.777,2.56286,0.825807,184.558,170.781,120.976,0.965652,251.381,283.616,32.2346,148.177,124.429,506.316,-0.345409,174.161,185.221,16.5741,29.0074,125.262,176.584,248.753,246.255,23.3677,-0.983214,253.701,29.6732,25.2866,138.574,260.071,565.49,589.923,20.0825,2844.11,8.5455,46.365,141.96,0.056501,110.029
1.99473,115.559,27.122,72.2198,109.967,0.5529,66.9937,72.975,38.0767,25.4906,28.5789,15.5457,4.4109,5.19044,30.5001,105.723,13.7776,2.43325,0.875224,184.259,170.481,123.529,0.980846,251.566,283.802,32.2365,148.745,125.235,505.944,-0.345869,174.131,184.857,16.4752,29.0017,125.965,176.604,248.774,246.514,22.8997,-0.983696,253.448,28.6423,25.2865,134.54,259.872,562.677,640.383,19.9513,2863.72,8.43453,51.5514,135.338,0.001631,109.983
2.00595,115.303,26.9923,72.2198,109.967,0.555712,67.0215,72.8063,37.9835,25.7138,28.5505,15.4293,4.75131,5.2076,30.4837,105.54,13.7008,2.63532,0.881251,184.408,170.707,121.602,0.993429,251.677,283.468,31.7903,148.724,124.325,507.546,-0.343579,174.103,184.996,16.5457,28.9886,125.097,176.584,248.926,246.21,23.2991,-0.982764,253.42,27.459,25.2865,126.135,259.7,561.531,613.627,20.0262,2838.39,8.32232,47.6964,127.8,0.049417,110.014
